division,compID,location,date,college,first_name,last_name,playerid,position,result,score
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Hannah,Del Barto,1556,2,1,"21-17, 21-18"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Phina,Leilua,1621,3,1,"21-13, 21-19"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Aiko,Waters,1619,3,1,"21-13, 21-19"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Devyn,Holland,1560,3,0,"21-13, 21-19"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Rylee,Adair,1566,3,0,"21-13, 21-19"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Jossie,Tomita,1626,4,1,"21-18, 14-21, 16-14"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Glorious,Owens,1630,4,1,"21-18, 14-21, 16-14"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Hannah,Reid,1559,4,0,"21-18, 14-21, 16-14"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Molly,Thee,1565,4,0,"21-18, 14-21, 16-14"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Kiana,Takahashi,1622,5,1,"21-19, 17-21, 15-10"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Melissa,Euyoque,1617,5,1,"21-19, 17-21, 15-10"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Georgia,Grisham,1558,5,0,"21-19, 17-21, 15-10"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Enjelica,Glatti,1555,5,0,"21-19, 17-21, 15-10"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Josannah,Vazquez,1519,1,1,"21-17, 21-8"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Sierra,Davis,1514,1,1,"21-17, 21-8"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Milla,Anderson,1822,1,0,"21-17, 21-8"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Sarah,Connell,1830,1,0,"21-17, 21-8"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Brooklyn,Mize,1516,2,1,"21-15, 21-9"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Jessica,Kaeka,1892,2,1,"21-15, 21-9"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Melissa,Pittelkau,1821,2,0,"21-15, 21-9"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Alina,Snyder,1820,2,0,"21-15, 21-9"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Doris,Woods,1521,3,1,"21-9, 21-12"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Isabella,Alvarez,1511,3,1,"21-9, 21-12"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Robyn,Brooks,1826,3,0,"21-9, 21-12"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Jhenalyn,Germono,1824,3,0,"21-9, 21-12"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Mariah,Clausen,1509,4,0,"12-21, 21-17, 17-15"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Elsa,Woods,1522,4,0,"12-21, 21-17, 17-15"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Lizette,Moore-Teague,1823,4,1,"12-21, 21-17, 17-15"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Kylie,Cassicippo,1828,4,1,"12-21, 21-17, 17-15"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Jordan,Diaz,1893,5,1,"21-19, 21-13"
Community College,792,"San Diego, Ca",2/16/18,Long Beach City College,Jasmine,Palacios,1510,5,1,"21-19, 21-13"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Tiarah,Tucker,1827,5,0,"21-19, 21-13"
Community College,792,"San Diego, Ca",2/16/18,San Diego Mesa College,Sabrina,Calcutt,1825,5,0,"21-19, 21-13"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Khamis,Berneker,1778,1,0,"21-13, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Toso,Leae,1785,1,0,"21-13, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Jewel,Yandall,1618,1,1,"21-13, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Sophia,Loiola,1615,1,1,"21-13, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Penina,Wilder,1777,2,1,"21-18, 21-15"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Jane,Woodward,1787,2,1,"21-18, 21-15"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Sarah ,Dyer,1623,2,0,"21-18, 21-15"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Jaylin,Motley,1628,2,0,"21-18, 21-15"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Jessika,Tellez,1783,3,0,"21-9, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Marina,Pilkington,1776,3,0,"21-9, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Phina,Leilua,1621,3,1,"21-9, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Aiko,Waters,1619,3,1,"21-9, 21-14"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Kayla,Owens,1779,4,1,"21-17, 21-11"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Brianna,Georgopoulos,1782,4,1,"21-17, 21-11"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Glorious,Owens,1630,4,0,"21-17, 21-11"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Jossie,Tomita,1626,4,0,"21-17, 21-11"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Alicya,Siler,1786,5,0,"21-5, 21-8"
Community College,793,"Hermosa Beach, Ca",2/16/18,Cypress College,Arianna,Ugaitafa,1781,5,0,"21-5, 21-8"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Melissa,Euyoque,1617,5,1,"21-5, 21-8"
Community College,793,"Hermosa Beach, Ca",2/16/18,El Camino College,Kiana,Takahashi,1622,5,1,"21-5, 21-8"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Jewel,Yandall,1618,1,1,"21-16, 12-21, 15-12"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Sophia,Loiola,1615,1,1,"21-16, 12-21, 15-12"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Celin,Macdonald,1846,1,0,"21-16, 12-21, 15-12"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Madison,Anderson,1844,1,0,"21-16, 12-21, 15-12"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Sarah ,Dyer,1623,2,1,"21-15, 18-21, 17-15"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Jaylin,Motley,1628,2,1,"21-15, 18-21, 17-15"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Lana,Salzar,1836,2,0,"21-15, 18-21, 17-15"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Claire,Kinder,1837,2,0,"21-15, 18-21, 17-15"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Phina,Leilua,1621,3,0,"21-10, 21-18"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Aiko,Waters,1619,3,0,"21-10, 21-18"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Chloe,Tripp,1839,3,1,"21-10, 21-18"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Michelle,Mason,1835,3,1,"21-10, 21-18"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Glorious,Owens,1630,4,0,"21-19, 21-16"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Jossie,Tomita,1626,4,0,"21-19, 21-16"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Violeti,Faleumu,1841,4,1,"21-19, 21-16"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Madison,Merkow,1847,4,1,"21-19, 21-16"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Melissa,Euyoque,1617,5,1,"21-16, 21-16"
Community College,794,"Hermosa Beach, Ca",2/16/18,El Camino College,Kiana,Takahashi,1622,5,1,"21-16, 21-16"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Halie,Hess,1840,5,0,"21-16, 21-16"
Community College,794,"Hermosa Beach, Ca",2/16/18,Mira Costa College,Jazleigh,Ortiz,1843,5,0,"21-16, 21-16"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Jourdan,Muro,1728,1,1,"21-12, 21-19"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Brooke,Horack,1727,1,1,"21-12, 21-19"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Mikelle,Taylor,1905,1,0,"21-12, 21-19"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Britany,Tran,1904,1,0,"21-12, 21-19"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Alex,Paris,1725,2,1,"21-?, 21-?"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Reece,Stevenson,1722,2,1,"21-?, 21-?"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Iliana,Mendoza,1895,2,0,"21-?, 21-?"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Karissa,Mumford,1899,2,0,"21-?, 21-?"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Haley,Sanchez,1723,3,1,"21-13, 21-16"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Rachel,Hoover,1729,3,1,"21-13, 21-16"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Kayla,Long,1902,3,0,"21-13, 21-16"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Kassandra,Murillo,1900,3,0,"21-13, 21-16"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Caitlyn,Foreman,1731,4,1,"23-21, 21-9"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Sarah,Armendariz,1724,4,1,"23-21, 21-9"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Destinee,Blue,1906,4,0,"23-21, 21-9"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Hannah,Degrasse,1896,4,0,"23-21, 21-9"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Shyanne,Baez,1726,5,0,"21-18, 21-18"
Community College,795,"Huntington Beach, Ca",2/16/18,Bakersfield College,Bianca,Logsdon,1730,5,0,"21-18, 21-18"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Stephanie,Huerta,1898,5,1,"21-18, 21-18"
Community College,795,"Huntington Beach, Ca",2/16/18,Santa Ana College,Lily,Reissmueller,1901,5,1,"21-18, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Andrea ,Velasco,1182,1,1,"21-18, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Madison,Mader,1174,1,1,"21-18, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Braxton,Jessie,1769,1,0,"21-18, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Janessa,Simental,1773,1,0,"21-18, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Michelle,Rosas,1181,2,0,"21-15, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Sara ,Harding,1172,2,0,"21-15, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Kasie,Spencer,1774,2,1,"21-15, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Armonee,Hunter,1768,2,1,"21-15, 21-18"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Michell,Chavez-Valdivia,1169,3,1,"23-21, 13-21, 15-10"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Felipa,Moreno,1177,3,1,"23-21, 13-21, 15-10"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Taylor,Benitez-Fanslow,1761,3,0,"23-21, 13-21, 15-10"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Shea,McKeown,1771,3,0,"23-21, 13-21, 15-10"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Bree,Newton,1178,4,0,"23-21, 18-21, 16-14"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Michelle,Hawkins,1173,4,0,"23-21, 18-21, 16-14"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Jordan,Neria,1772,4,1,"23-21, 18-21, 16-14"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Sofia,Gomez,1766,4,1,"23-21, 18-21, 16-14"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Stephanie,Garcia,1170,5,0,"21-8, 21-12"
Community College,797,"Ventura, Ca",2/16/18,Rio Hondo College ,Madelyn,Gastelum,1171,5,0,"21-8, 21-12"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Danielle,Garcia,1765,5,1,"21-8, 21-12"
Community College,797,"Ventura, Ca",2/16/18,Ventura College,Carina,Cates,1764,5,1,"21-8, 21-12"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Felicia,Marshall,1528,1,1,"21-16, 21-18"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Khalia,Jordan,1529,1,1,"21-16, 21-18"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Braxton,Jessie,1769,1,0,"21-16, 21-18"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Janessa,Simental,1773,1,0,"21-16, 21-18"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Aofiaolela,Faa'agi,1535,2,1,"17-21, 21-18, 15-12"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Christina,Barrameda,1527,2,1,"17-21, 21-18, 15-12"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Kasie,Spencer,1774,2,0,"17-21, 21-18, 15-12"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Armonee,Hunter,1768,2,0,"17-21, 21-18, 15-12"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Desiree,Elizondo,1534,3,1,"21-15, 21-15"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Makayla,Tam,1531,3,1,"21-15, 21-15"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Taylor,Benitez-Fanslow,1761,3,0,"21-15, 21-15"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Shea,McKeown,1771,3,0,"21-15, 21-15"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Ashlee,Goycoochea,1537,4,1,"21-15, 21-12"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Maiya,Lopez,1541,4,1,"21-15, 21-12"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Jordan,Neria,1772,4,0,"21-15, 21-12"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Sofia,Gomez,1766,4,0,"21-15, 21-12"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Talia ,Young,1937,5,1,"19-21, 21-14, 15-13"
Community College,798,"Ventura, Ca",2/16/18,Grossmont College,Julia,Holden,1538,5,1,"19-21, 21-14, 15-13"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Danielle,Garcia,1765,5,0,"19-21, 21-14, 15-13"
Community College,798,"Ventura, Ca",2/16/18,Ventura College,Carina,Cates,1764,5,0,"19-21, 21-14, 15-13"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Shaianne,Palos,1612,1,0,"21-10, 21-19"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Malia,Carr,1605,1,0,"21-10, 21-19"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Janessa,Simental,1773,1,1,"21-10, 21-19"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Braxton,Jessie,1769,1,1,"21-10, 21-19"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Sierra,Lujan,1604,2,0,"21-13, 21-9"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Jordon,Wilson,1917,2,0,"21-13, 21-9"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Kasie,Spencer,1774,2,1,"21-13, 21-9"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Armonee,Hunter,1768,2,1,"21-13, 21-9"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Lauren,Quinonez,1607,3,0,"21-11, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Alysha,Tullar,1610,3,0,"21-11, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Taylor,Benitez-Fanslow,1761,3,1,"21-11, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Shea,McKeown,1771,3,1,"21-11, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Lindsey,Lane,1608,4,0,"21-7, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Brianda,Valdez,1603,4,0,"21-7, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Jordan,Neria,1772,4,1,"21-7, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Sofia,Gomez,1766,4,1,"21-7, 21-12"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Natalya,Fajardo,1601,5,0,"21-14, 21-2"
Community College,796,"Ventura, Ca",2/21/18,Mt San Antonio College,Kierra,Coatney,1606,5,0,"21-14, 21-2"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Danielle,Garcia,1765,5,1,"21-14, 21-2"
Community College,796,"Ventura, Ca",2/21/18,Ventura College,Carina,Cates,1764,5,1,"21-14, 21-2"
DII,799," Deland, FL ",2/23/18,Eckerd ,Savanna,Cary,536,1,0,"21-12, 21-15"
DII,799," Deland, FL ",2/23/18,Eckerd ,Mackenzie,Redner,539,1,0,"21-12, 21-15"
DI,799," Deland, FL ",2/23/18,Stetson,Carly,Perales,401,1,1,"21-12, 21-15"
DI,799," Deland, FL ",2/23/18,Stetson,Sunniva,Helland-Hansen,402,1,1,"21-12, 21-15"
DII,799," Deland, FL ",2/23/18,Eckerd ,Paula,Hoffman,1890,2,0,"21-18, 21-16"
DII,799," Deland, FL ",2/23/18,Eckerd ,Kaitlyn,Sibson,534,2,0,"21-18, 21-16"
DI,799," Deland, FL ",2/23/18,Stetson,Sammee,Thomas,945,2,1,"21-18, 21-16"
DI,799," Deland, FL ",2/23/18,Stetson,Darby,Dunn,403,2,1,"21-18, 21-16"
DII,799," Deland, FL ",2/23/18,Eckerd ,Madison ,Whiting,535,3,0,"21-17, 21-17"
DII,799," Deland, FL ",2/23/18,Eckerd ,Arielle,Erillo,541,3,0,"21-17, 21-17"
DI,799," Deland, FL ",2/23/18,Stetson,Rebecca,Ingram,948,3,1,"21-17, 21-17"
DI,799," Deland, FL ",2/23/18,Stetson,Quinci,Birker,947,3,1,"21-17, 21-17"
DII,799," Deland, FL ",2/23/18,Eckerd ,Stephanie,Bogda,533,4,0,"21-10, 21-8"
DII,799," Deland, FL ",2/23/18,Eckerd ,Rachel,Cornatzer,537,4,0,"21-10, 21-8"
DI,799," Deland, FL ",2/23/18,Stetson,Samantha,Harris,404,4,1,"21-10, 21-8"
DI,799," Deland, FL ",2/23/18,Stetson,Rachel,Noble,778,4,1,"21-10, 21-8"
DII,799," Deland, FL ",2/23/18,Eckerd ,Kali,Boatwright,1889,5,0,"21-9, 21-10"
DII,799," Deland, FL ",2/23/18,Eckerd ,Jordan,Duffy,1888,5,0,"21-9, 21-10"
DI,799," Deland, FL ",2/23/18,Stetson,Katinka,Krahn,946,5,1,"21-9, 21-10"
DI,799," Deland, FL ",2/23/18,Stetson,Alexa,Richardson,892,5,1,"21-9, 21-10"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Brooke,Weiner,467,1,0,"22-24, 21-17, 15-13"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Tiffany,Creamer,405,1,0,"22-24, 21-17, 15-13"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Shannon,Williams,121,1,1,"22-24, 21-17, 15-13"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Ali,Denney,115,1,1,"22-24, 21-17, 15-13"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Allie,Elson,462,2,0,"21-18, 21-14"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Ashley,McGinn,461,2,0,"21-18, 21-14"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Katie,Smith,116,2,1,"21-18, 21-14"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Lydia,Dimke,1209,2,1,"21-18, 21-14"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Eden,Hawes,1032,3,0,"21-16, 21-11"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Georgia,Johnson,460,3,0,"21-16, 21-11"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Carly,Schneider,119,3,1,"21-16, 21-11"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Julia,Mannisto,118,3,1,"21-16, 21-11"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Kate,Novack,463,4,0,"21-12, 21-15"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Rebekah,Brodbeck,1036,4,0,"21-12, 21-15"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Macie,Tendrich,120,4,1,"21-12, 21-15"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Leah,Perri,996,4,1,"21-12, 21-15"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Amie ,Held,459,5,0,"21-15, 21-19"
DI,800,"  Deland, FL  ",2/23/18,Georgia State,Maddie,Gordon,458,5,0,"21-15, 21-19"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Hannah,Edelman,125,5,1,"21-15, 21-19"
DI,800,"  Deland, FL  ",2/23/18,South Carolina,Franky,Harrison,122,5,1,"21-15, 21-19"
DI,801," Deland, FL ",2/23/18,FAU,Gabrielle,Dischler,297,1,0,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2/23/18,FAU,Jessalyn,Kinlaw,299,1,0,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2/23/18,Florida State,Victoria,Paranagua,16,1,1,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2/23/18,Florida State,Macy,Jerger,15,1,1,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2/23/18,FAU,Brittany,Pellitteri,298,2,0,"21-16, 23-21"
DI,801," Deland, FL ",2/23/18,FAU,Carly,Scarborough,797,2,0,"21-16, 23-21"
DI,801," Deland, FL ",2/23/18,Florida State,Brooke,Kuhlman,12,2,1,"21-16, 23-21"
DI,801," Deland, FL ",2/23/18,Florida State,Vanessa,Freire,13,2,1,"21-16, 23-21"
DI,801," Deland, FL ",2/23/18,FAU,Nicole,Navarro,304,3,0,"21-16, 21-19"
DI,801," Deland, FL ",2/23/18,FAU,Nicole,Grant,303,3,0,"21-16, 21-19"
DI,801," Deland, FL ",2/23/18,Florida State,Sara,Putt,1012,3,1,"21-16, 21-19"
DI,801," Deland, FL ",2/23/18,Florida State,Francesca,Goncalves,14,3,1,"21-16, 21-19"
DI,801," Deland, FL ",2/23/18,FAU,Erica,Brok,1040,4,0,"21-14, 21-18"
DI,801," Deland, FL ",2/23/18,FAU,Mackenzie,Morris,1044,4,0,"21-14, 21-18"
DI,801," Deland, FL ",2/23/18,Florida State,Hailey,Luke,743,4,1,"21-14, 21-18"
DI,801," Deland, FL ",2/23/18,Florida State,Katie,Horton,17,4,1,"21-14, 21-18"
